Case_ID,AI_Diagnosis,Action,Corrected_Fault,Reason
CASE_018,"{
  ""root_cause"": ""Duplicate IP address assignment on network"",
  ""confidence"": ""high"",
  ""evidence"": ""show ip arp: 192.168.1.10 maps to MACs AA-BB and CC-DD"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_019,"{
  ""root_cause"": ""Port security violation err-disabled the interface"",
  ""confidence"": ""high"",
  ""evidence"": ""show interfaces Gi1/0/1: status down, protocol down (err-disable). show run: port-security"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_020,"{
  ""root_cause"": ""Physical layer cabling issue or duplex mismatch"",
  ""confidence"": ""high"",
  ""evidence"": ""show interfaces Gi0/1: 500 input errors, 100 CRC errors"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_021,"{
  ""root_cause"": ""ACL blocking source subnet from exiting network"",
  ""confidence"": ""high"",
  ""evidence"": ""show ip access-lists: 10 deny ip 192.168.1.0 0.0.0.255 any"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_022,"{
  ""root_cause"": ""Switch Virtual Interface (SVI) for VLAN 20 is shut down"",
  ""confidence"": ""high"",
  ""evidence"": ""show ip route: C 10.0.0.0, C 20.0.0.0. show ip int brief: Vlan20 admin down"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_023,"{
  ""root_cause"": ""ACL denying VPN pool IPs from accessing internal subnets"",
  ""confidence"": ""high"",
  ""evidence"": ""show ip route: 10.0.0.0/24 via ASA. show access-lists: deny ip 192.168.50.0 0.0.0.255 10.0.0.0"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_024,"{
  ""root_cause"": ""Static NAT IP mapping is incorrect"",
  ""confidence"": ""high""
}",Accepted,,
CASE_025,"{
  ""root_cause"": ""EtherChannel PAgP/LACP mode mismatch"",
  ""confidence"": ""high"",
  ""evidence"": ""show etherchannel summary: Gi0/1-4 (I) (standalone). SW1 mode on, SW2 mode active"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_026,"{
  ""root_cause"": ""Port-security violation triggered by MAC limit"",
  ""confidence"": ""high"",
  ""evidence"": ""show interfaces gi0/10: status err-disabled. show run int gi0/10: port-security maximum 1"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_027,"{
  ""root_cause"": ""OSPF area mismatch"",
  ""confidence"": ""high""
}",Accepted,,
CASE_028,"{
  ""root_cause"": ""DHCP pool configured with incorrect network statement"",
  ""confidence"": ""high"",
  ""evidence"": ""show ip dhcp pool: network 10.10.20.0 255.255.255.0"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_029,"{
  ""root_cause"": ""DNS server lacks the required zone or forwarder for the internal domain"",
  ""confidence"": ""high"",
  ""evidence"": ""show run: ip name-server 8.8.8.8. nslookup internal.corp: fails"",
  ""next_command"": ""show running-config"",
  ""fix_steps"": [
    ""configure terminal"",
    ""apply correct config"",
    ""end""
  ]
}",Accepted,,
CASE_030,"{
  ""root_cause"": ""NTP server is offline"",
  ""confidence"": ""medium""
}",Accepted,,
CASE_030,"{
  ""root_cause"": ""NTP server is offline"",
  ""confidence"": ""medium""
}",Accepted,,
