Case_ID,Symptom,Topology_Note,Show_Commands_Output,Expected_Fault,OSI_Layer,Concept_Tag,Severity
CASE_016,"Guest Wi-Fi client can ping internal corporate servers","WLC connected to SW1","show wlan: Guest WLAN mapped to VLAN 99. SW1 trunk allows VLAN 99 to corporate core","Guest Wi-Fi mapped to internal VLAN instead of isolated DMZ",2,Wireless,Critical
CASE_017,"Cannot connect to SSID 'Corp-Net'","Laptop connected to wireless AP","Wireless client logs: Authentication failed. show run on AP: ssid Corp-Net wpa-psk ascii Mypassw0rd","WPA2 Pre-shared key mismatch",2,Wireless,Low
CASE_018,"PC1 and PC2 have same IP causing intermittent drops","PC1 and PC2 on SW1","show ip arp: 192.168.1.10 maps to MACs AA-BB and CC-DD","Duplicate IP address assignment on network",3,Gateway,Medium
CASE_019,"Trunk link down between switches","SW1 to SW2 fiber link","show interfaces Gi1/0/1: status down, protocol down (err-disable). show run: port-security","Port security violation err-disabled the interface",1,VLAN,High
CASE_020,"Intermittent packet loss on L2 link","SW1 to SW2 copper link","show interfaces Gi0/1: 500 input errors, 100 CRC errors","Physical layer cabling issue or duplex mismatch",1,VLAN,Medium
CASE_021,"PC cannot ping outside network despite routes being correct","PC -> SW1 -> R1 -> Internet","show ip access-lists: 10 deny ip 192.168.1.0 0.0.0.255 any","ACL blocking source subnet from exiting network",4,ACL,High
CASE_022,"VLAN 10 cannot talk to VLAN 20","L3 switch routing between VLANs","show ip route: C 10.0.0.0, C 20.0.0.0. show ip int brief: Vlan20 admin down","Switch Virtual Interface (SVI) for VLAN 20 is shut down",3,Routing,High
CASE_023,"Remote VPN client cannot access internal server","R1 acting as VPN endpoint","show ip route: 10.0.0.0/24 via ASA. show access-lists: deny ip 192.168.50.0 0.0.0.255 10.0.0.0","ACL denying VPN pool IPs from accessing internal subnets",4,ACL,High
CASE_024,"Static NAT for web server not working","R1 NATing 192.168.1.10 to 203.0.113.10","show run: ip nat inside source static 192.168.1.10 203.0.113.10. show ip int gi0/1: ip nat outside. BUT ACL 1 denies 192.168.1.10","NAT translation fails because underlying ACL denies the inside IP",4,NAT,High
CASE_025,"Two switches not forming an EtherChannel","SW1 and SW2 connected with 4 links","show etherchannel summary: Gi0/1-4 (I) (standalone). SW1 mode on, SW2 mode active","EtherChannel PAgP/LACP mode mismatch",2,VLAN,Medium
CASE_026,"Switch port won't come up for new PC","PC connected to SW1 port Gi0/10","show interfaces gi0/10: status err-disabled. show run int gi0/10: port-security maximum 1","Port-security violation triggered by MAC limit",1,VLAN,Medium
CASE_027,"Router has no routes despite OSPF being configured","R1 and R2 connected via Gi0/0","show ip ospf interface gi0/0: passive interface","OSPF interface set to passive, preventing adjacency",3,Routing,High
CASE_028,"Host gets IP from DHCP but wrong subnet","PC expected in 10.10.10.0/24, got 10.10.20.0/24","show ip dhcp pool: network 10.10.20.0 255.255.255.0","DHCP pool configured with incorrect network statement",3,DHCP,Medium
CASE_029,"DNS queries failing for internal domain only","PC -> R1 -> DNS Server","show run: ip name-server 8.8.8.8. nslookup internal.corp: fails","DNS server lacks the required zone or forwarder for the internal domain",7,DNS,Medium
CASE_030,"Internal servers cannot sync time with external NTP server","R1 -> Internet","show access-lists: 100 permit udp any any eq 123. BUT show run int gi0/1: ip access-group 100 in. ACL applied inbound blocks return traffic without state","ACL applied in wrong direction / blocking return NTP traffic",4,ACL,Critical
